Sample	 Entries 	 SumofLHEWeights 	 SumofGENWeights
NMSSM_XtoYHto4B_MX-700_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	67000	5.42508e+14 	5.42508e+14
NMSSM_XtoYHto4B_MX-800_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	67000	8.12608e+14 	8.12608e+14
NMSSM_XtoYHto4B_MX-800_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	67000	8.10764e+14 	8.10764e+14
NMSSM_XtoYHto4B_MX-800_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	67000	8.08161e+14 	8.08161e+14
NMSSM_XtoYHto4B_MX-800_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	67000	8.07031e+14 	8.07031e+14
NMSSM_XtoYHto4B_MX-800_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	67000	8.05544e+14 	8.05544e+14
NMSSM_XtoYHto4B_MX-800_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	67000	7.97863e+14 	7.97863e+14
NMSSM_XtoYHto4B_MX-800_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	64000	7.53435e+14 	7.53435e+14
NMSSM_XtoYHto4B_MX-800_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	67000	7.6392e+14 	7.6392e+14
NMSSM_XtoYHto4B_MX-800_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	67000	6.94369e+14 	6.94369e+14
NMSSM_XtoYHto4B_MX-800_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	64000	5.68512e+14 	5.68512e+14
NMSSM_XtoYHto4B_MX-800_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	67000	4.63092e+14 	4.63092e+14
NMSSM_XtoYHto4B_MX-800_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.85719e+14 	2.85719e+14
NMSSM_XtoYHto4B_MX-900_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	67000	5.02925e+14 	5.02925e+14
NMSSM_XtoYHto4B_MX-900_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	67000	5.02125e+14 	5.02125e+14
NMSSM_XtoYHto4B_MX-900_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	67000	5.0028e+14 	5.0028e+14
NMSSM_XtoYHto4B_MX-900_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	64000	4.77215e+14 	4.77215e+14
NMSSM_XtoYHto4B_MX-900_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	66000	4.84166e+14 	4.84166e+14
NMSSM_XtoYHto4B_MX-900_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	67000	4.46362e+14 	4.46362e+14
NMSSM_XtoYHto4B_MX-900_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.37627e+14 	3.37627e+14
NMSSM_XtoYHto4B_MX-1000_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.22102e+14 	3.22102e+14
NMSSM_XtoYHto4B_MX-1000_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.21621e+14 	3.21621e+14
NMSSM_XtoYHto4B_MX-1000_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.21163e+14 	3.21163e+14
NMSSM_XtoYHto4B_MX-1000_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.20521e+14 	3.20521e+14
NMSSM_XtoYHto4B_MX-1000_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.20278e+14 	3.20278e+14
NMSSM_XtoYHto4B_MX-1000_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.20046e+14 	3.20046e+14
NMSSM_XtoYHto4B_MX-1000_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.18074e+14 	3.18074e+14
NMSSM_XtoYHto4B_MX-1000_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.15584e+14 	3.15584e+14
NMSSM_XtoYHto4B_MX-1000_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.09762e+14 	3.09762e+14
NMSSM_XtoYHto4B_MX-1000_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.92818e+14 	2.92818e+14
NMSSM_XtoYHto4B_MX-1000_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	64000	2.56655e+14 	2.56655e+14
NMSSM_XtoYHto4B_MX-1000_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.37718e+14 	2.37718e+14
NMSSM_XtoYHto4B_MX-1000_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	64000	1.90088e+14 	1.90088e+14
NMSSM_XtoYHto4B_MX-1000_MY-800_TuneCP5_13p6TeV_madgraph-pythia8	64000	8.79868e+13 	8.79868e+13
NMSSM_XtoYHto4B_MX-1200_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.42049e+14 	1.42049e+14
NMSSM_XtoYHto4B_MX-1200_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.4189e+14 	1.4189e+14
NMSSM_XtoYHto4B_MX-1200_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	43000	9.08987e+13 	9.08987e+13
NMSSM_XtoYHto4B_MX-1200_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.41531e+14 	1.41531e+14
