Sample	 Entries 	 SumofLHEWeights 	 SumofGENWeights
NMSSM-XtoYHto4B_Par-MX-1200-MY-70_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.1195e+14 	2.1195e+14
NMSSM-XtoYHto4B_Par-MX-1200-MY-80_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.11742e+14 	2.11742e+14
NMSSM-XtoYHto4B_Par-MX-1200-MY-90_TuneCP5_13p6TeV_madgraph-pythia8	99000	2.09355e+14 	2.09355e+14
NMSSM-XtoYHto4B_Par-MX-1200-MY-95_TuneCP5_13p6TeV_madgraph-pythia8	99000	2.09254e+14 	2.09254e+14
NMSSM-XtoYHto4B_Par-MX-1200-MY-100_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.11249e+14 	2.11249e+14
NMSSM-XtoYHto4B_Par-MX-1200-MY-125_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-1200-MY-150_TuneCP5_13p6TeV_madgraph-pythia8	99000	2.07235e+14 	2.07235e+14
NMSSM-XtoYHto4B_Par-MX-1200-MY-200_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.06646e+14 	2.06646e+14
NMSSM-XtoYHto4B_Par-MX-1200-MY-300_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.99015e+14 	1.99015e+14
NMSSM-XtoYHto4B_Par-MX-1200-MY-400_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.88272e+14 	1.88272e+14
NMSSM-XtoYHto4B_Par-MX-1200-MY-500_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.7436e+14 	1.7436e+14
NMSSM-XtoYHto4B_Par-MX-1200-MY-600_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.57426e+14 	1.57426e+14
NMSSM-XtoYHto4B_Par-MX-1200-MY-800_TuneCP5_13p6TeV_madgraph-pythia8	99000	1.12151e+14 	1.12151e+14
NMSSM-XtoYHto4B_Par-MX-1200-MY-1000_TuneCP5_13p6TeV_madgraph-pythia8	100000	5.12172e+13 	5.12172e+13
NMSSM-XtoYHto4B_Par-MX-1400-MY-60_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.01362e+14 	1.01362e+14
NMSSM-XtoYHto4B_Par-MX-1400-MY-70_TuneCP5_13p6TeV_madgraph-pythia8	99000	1.00232e+14 	1.00232e+14
NMSSM-XtoYHto4B_Par-MX-1400-MY-80_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.01196e+14 	1.01196e+14
NMSSM-XtoYHto4B_Par-MX-1400-MY-90_TuneCP5_13p6TeV_madgraph-pythia8	98000	9.90694e+13 	9.90694e+13
NMSSM-XtoYHto4B_Par-MX-1400-MY-95_TuneCP5_13p6TeV_madgraph-pythia8	97000	9.80196e+13 	9.80196e+13
NMSSM-XtoYHto4B_Par-MX-1400-MY-100_TuneCP5_13p6TeV_madgraph-pythia8	95000	9.59355e+13 	9.59355e+13
NMSSM-XtoYHto4B_Par-MX-1400-MY-125_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-1400-MY-150_TuneCP5_13p6TeV_madgraph-pythia8	96000	9.6308e+13 	9.6308e+13
NMSSM-XtoYHto4B_Par-MX-1400-MY-200_TuneCP5_13p6TeV_madgraph-pythia8	100000	9.93946e+13 	9.93946e+13
NMSSM-XtoYHto4B_Par-MX-1400-MY-300_TuneCP5_13p6TeV_madgraph-pythia8	100000	9.67242e+13 	9.67242e+13
NMSSM-XtoYHto4B_Par-MX-1400-MY-400_TuneCP5_13p6TeV_madgraph-pythia8	100000	9.30008e+13 	9.30008e+13
NMSSM-XtoYHto4B_Par-MX-1400-MY-500_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-1400-MY-600_TuneCP5_13p6TeV_madgraph-pythia8	98000	8.06915e+13 	8.06915e+13
