Sample	 Entries 	 SumofLHEWeights 	 SumofGENWeights
NMSSM_XtoYHto4B_MX-900_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.46342e+14 	2.46342e+14
NMSSM_XtoYHto4B_MX-900_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.46049e+14 	2.46049e+14
NMSSM_XtoYHto4B_MX-900_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.44256e+14 	2.44256e+14
NMSSM_XtoYHto4B_MX-900_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.41998e+14 	2.41998e+14
NMSSM_XtoYHto4B_MX-900_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.36386e+14 	2.36386e+14
NMSSM_XtoYHto4B_MX-900_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.1983e+14 	2.1983e+14
NMSSM_XtoYHto4B_MX-900_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.96554e+14 	1.96554e+14
NMSSM_XtoYHto4B_MX-900_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.66283e+14 	1.66283e+14
NMSSM_XtoYHto4B_MX-900_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.27934e+14 	1.27934e+14
NMSSM_XtoYHto4B_MX-1000_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.5864e+14 	1.5864e+14
NMSSM_XtoYHto4B_MX-1000_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.58401e+14 	1.58401e+14
NMSSM_XtoYHto4B_MX-1000_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.5809e+14 	1.5809e+14
NMSSM_XtoYHto4B_MX-1000_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.57985e+14 	1.57985e+14
NMSSM_XtoYHto4B_MX-1000_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.57741e+14 	1.57741e+14
NMSSM_XtoYHto4B_MX-1000_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.57561e+14 	1.57561e+14
NMSSM_XtoYHto4B_MX-1000_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.56602e+14 	1.56602e+14
NMSSM_XtoYHto4B_MX-1000_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.55473e+14 	1.55473e+14
NMSSM_XtoYHto4B_MX-1000_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.52564e+14 	1.52564e+14
NMSSM_XtoYHto4B_MX-1000_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.44183e+14 	1.44183e+14
NMSSM_XtoYHto4B_MX-1000_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.32347e+14 	1.32347e+14
NMSSM_XtoYHto4B_MX-1000_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	24000	8.51799e+13 	8.51799e+13
NMSSM_XtoYHto4B_MX-1000_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	33000	9.80436e+13 	9.80436e+13
NMSSM_XtoYHto4B_MX-1000_MY-800_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.53441e+13 	4.53441e+13
NMSSM_XtoYHto4B_MX-1200_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	33000	7.00152e+13 	7.00152e+13
NMSSM_XtoYHto4B_MX-1200_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.99672e+13 	6.99672e+13
NMSSM_XtoYHto4B_MX-1200_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.98574e+13 	6.98574e+13
NMSSM_XtoYHto4B_MX-1200_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.98163e+13 	6.98163e+13
NMSSM_XtoYHto4B_MX-1200_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.9765e+13 	6.9765e+13
NMSSM_XtoYHto4B_MX-1200_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.96834e+13 	6.96834e+13
NMSSM_XtoYHto4B_MX-1200_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.94539e+13 	6.94539e+13
NMSSM_XtoYHto4B_MX-1200_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.90489e+13 	6.90489e+13
NMSSM_XtoYHto4B_MX-1200_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.82167e+13 	6.82167e+13
NMSSM_XtoYHto4B_MX-1200_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	24000	4.7763e+13 	4.7763e+13
NMSSM_XtoYHto4B_MX-1200_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.21192e+13 	6.21192e+13
NMSSM_XtoYHto4B_MX-1200_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	33000	5.75349e+13 	5.75349e+13
NMSSM_XtoYHto4B_MX-1200_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	33000	5.19147e+13 	5.19147e+13
NMSSM_XtoYHto4B_MX-1200_MY-800_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.73785e+13 	3.73785e+13
NMSSM_XtoYHto4B_MX-1200_MY-1000_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.6905e+13 	1.6905e+13
NMSSM_XtoYHto4B_MX-1400_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.34275e+13 	3.34275e+13
NMSSM_XtoYHto4B_MX-1400_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.34338e+13 	3.34338e+13
NMSSM_XtoYHto4B_MX-1400_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.33699e+13 	3.33699e+13
NMSSM_XtoYHto4B_MX-1400_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.33711e+13 	3.33711e+13
NMSSM_XtoYHto4B_MX-1400_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.33426e+13 	3.33426e+13
NMSSM_XtoYHto4B_MX-1400_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.33162e+13 	3.33162e+13
NMSSM_XtoYHto4B_MX-1400_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.32439e+13 	3.32439e+13
NMSSM_XtoYHto4B_MX-1400_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.30999e+13 	3.30999e+13
NMSSM_XtoYHto4B_MX-1400_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.27812e+13 	3.27812e+13
NMSSM_XtoYHto4B_MX-1400_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.19294e+13 	3.19294e+13
NMSSM_XtoYHto4B_MX-1400_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.06923e+13 	3.06923e+13
NMSSM_XtoYHto4B_MX-1400_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.91172e+13 	2.91172e+13
NMSSM_XtoYHto4B_MX-1400_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.71719e+13 	2.71719e+13
NMSSM_XtoYHto4B_MX-1400_MY-800_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.22048e+13 	2.22048e+13
NMSSM_XtoYHto4B_MX-1400_MY-1000_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.56908e+13 	1.56908e+13
